Sat 30 Dec 2017 15:20:46 INFO main.py 76 8968 2017-12-30T15:20:46.968181: step 44, loss 10.7176, acc 0.09, score -0.17001080513, wrong 100.0, 1.0932734 secs/batch
Sat 30 Dec 2017 15:20:48 INFO main.py 76 8968 2017-12-30T15:20:48.121998: step 45, loss 9.55506, acc 0.0, score 0.444941520691, wrong 100.0, 1.1463077 secs/batch
Sat 30 Dec 2017 15:20:49 INFO main.py 76 8968 2017-12-30T15:20:49.234401: step 46, loss 8.69998, acc 0.03, score 1.37891596556, wrong 100.0, 1.1028967 secs/batch
Sat 30 Dec 2017 15:20:50 INFO main.py 76 8968 2017-12-30T15:20:50.363700: step 47, loss 10.0579, acc 0.11, score 0.47515296936, wrong 100.0, 1.1217940 secs/batch
Sat 30 Dec 2017 15:20:51 INFO main.py 76 8968 2017-12-30T15:20:51.488996: step 48, loss 8.89956, acc 0.0, score 1.10043478012, wrong 100.0, 1.1197927 secs/batch
Sat 30 Dec 2017 15:20:52 INFO main.py 76 8968 2017-12-30T15:20:52.587274: step 49, loss 9.44187, acc 0.18, score 1.63605251908, wrong 100.0, 1.0902710 secs/batch
Sat 30 Dec 2017 15:20:53 INFO main.py 76 8968 2017-12-30T15:20:53.664535: step 50, loss 9.69746, acc 0.02, score 0.325776457787, wrong 100.0, 1.0717576 secs/batch
Sat 30 Dec 2017 15:20:54 INFO main.py 76 8968 2017-12-30T15:20:54.758308: step 51, loss 8.95566, acc 0.04, score 1.09383416176, wrong 100.0, 1.0882692 secs/batch
Sat 30 Dec 2017 15:20:55 INFO main.py 76 8968 2017-12-30T15:20:55.847579: step 52, loss 10.2638, acc 0.04, score -0.192888617516, wrong 100.0, 1.0827663 secs/batch
Sat 30 Dec 2017 15:20:56 INFO main.py 76 8968 2017-12-30T15:20:56.961868: step 53, loss 10.1508, acc 0.0, score -0.150827765465, wrong 100.0, 1.1097853 secs/batch
Sat 30 Dec 2017 15:20:58 INFO main.py 76 8968 2017-12-30T15:20:58.131697: step 54, loss 9.35459, acc 0.0, score 0.645405888557, wrong 100.0, 1.1643233 secs/batch
